,0
880,pipe
881,installed
882,over
883,top
884,vent
885,bag
886,pipe.
887,Equipment:
888,pipe
889,difficult
890,hold
891,due
892,size
893,Never
894,plac
895,e
896,yourself
897,line
898,fire.
899,Line
900,fire
901,risk
902,covered
903,SWP.
904,TBCCC
905,include
906,tensioned
907,lines
908,management.
909,m
910,2018.09.24
911,-01-
912,ﬂ-
913,2018.09.24
914,(SH
915,-01)
916,SH-01-
917,2018.09.24
918,2018.09.25
919,19
920,99097859
921,Final
922,HSEC
923,Incident
924,Alert
925,Growth
926,Innovation
927,distributed
928,incident
929,occurrence
930,DISPLAY
931,BOARDS
932,DAYS
933,AFTER
934,INCIDENT
935,Incident:
936,Finger
937,laceration
938,cable
939,tray
940,cover
941,Final
942,Classification:
943,Medical
944,Treatment
945,Injury
946,(MTI)
947,Operation
948,Project:
949,Underground
950,Project
951,Location
952,Region
953,Central
954,Heating
955,Plant
956,Expansion
957,25
958,Growth
959,Innovation
960,Critical
961,Control:
962,"Aitchison,"
963,workers
964,handling
965,electrical
966,cable
967,tray
968,cover
969,workers
970,lost
971,grip
972,sharp
973,edge
974,cover
975,slid
976,through
977,fingers.
978,sharp
979,edge
980,caused
981,laceration
982,"finger,"
983,which
984,required
985,suturing
986,Investigation
987,findings:
988,Previous
989,workers
990,cut
991,section
992,cover
993,left
994,"sharp,"
995,hazardous
996,edge;
997,IPs
998,gloves
999,provide
1000,adequate
1001,cut
1002,protection.
1003,General
1004,handling
1005,gloves
1006,cut
1007,puncture
1008,resistance
1009,2.
1010,L
1011,earnings
1012,actions
1013,Be
1014,aware
1015,leaving
1016,hazardous
1017,conditions
1018,other
1019,workers
1020,(sharp
1021,edges
1022,case);
1023,Consider
1024,cut
1025,resistant
1026,gloves
1027,general
1028,handling
1029,rather
1030,than
1031,just
1032,activities
1033,expose
1034,worker
1035,sharp
1036,edges.
1037,Preliminary
1038,HSEC
1039,Incident
1040,Alert
1041,Growth
1042,Innovation
1043,distributed
1044,incident
1045,occurrence
1046,DISPLAY
1047,BOARDS
1048,DAYS
1049,AFTER
1050,INCIDENT
1051,Incident:
1052,Finger
1053,Laceration
1054,Cable
1055,Tray
1056,Preliminary
1057,Classification:
1058,Medical
1059,Treatment
1060,Injury
1061,(MTI)
1062,Operation
1063,Project
1064,Underground
1065,Project
1066,Location
1067,Region
1068,Central
1069,Heating
1070,Plant
1071,25
1072,Growth
1073,Innovation
1074,Critical
1075,Control
1076,"Aitchison,"
1077,An
1078,electrical
1079,worker
1080,sustained
1081,laceration
1082,right
1083,ring
1084,finger
1085,sharp
1086,edge
1087,cable
1088,tray
1089,cover
1090,while
1091,performing
1092,housekeeping
1093,duties.
1094,wearing
1095,gloves
1096,time.
1097,Immediate
1098,Actions
1099,Work
1100,activity
1101,stopped
1102,immediately
1103,Employee
1104,taken
1105,on-site
1106,clinic
1107,evaluation
1108,Investigation
1109,commenced.
1110,Preliminary
1111,HSEC
1112,Incident
1113,Alert
1114,Growth
1115,Innovation
1116,distributed
1117,incident
1118,occurrence
1119,DISPLAY
1120,BOARDS
1121,DAYS
1122,AFTER
1123,INCIDENT
1124,Incident:
1125,Foreign
1126,Body
1127,(metal
1128,fragment)
1129,Leg
1130,Preliminary
1131,Classification:
1132,Medical
1133,Treatment
1134,Injury
1135,(MTI)
1136,Operation
1137,Project
1138,Underground
1139,Project
1140,Location
1141,Region
1142,Shaft
1143,Discharge
1144,Conveyor
1145,Area
1146,25
1147,Growth
1148,Innovation
1149,Critical
1150,Control
1151,"Aitchison,"
1152,small
1153,metal
1154,fragment
1155,embedded
1156,into
1157,back
1158,supervisors
1159,leg
1160,whilst
1161,supervising
1162,field
1163,maintenance
1164,tooth
1165,excavator
1166,bucket.
1167,"Reportedly,"
1168,soft
1169,face
1170,copper
1171,hammer
1172,time.
1173,deemed
1174,immediately
1175,fit
1176,work
1177,however
1178,further
1179,assessment
1180,concluded
1181,fragment
1182,now
1183,requires
1184,removal
1185,(medical
1186,treatment)
1187,Immed
1188,i
1189,ate
1190,Actions
1191,Work
1192,ctivity
1193,stopped
1194,immediately.
1195,Investigation
1196,commenced.
1197,Final
1198,HSEC
1199,Incident
1200,Alert
1201,Growth
1202,Innovation
1203,distributed
1204,incident
1205,occurrence
1206,DISPLAY
1207,BOARDS
1208,DAYS
1209,AFTER
1210,INCIDENT
1211,Incident:
1212,Sharp
1213,edged
1214,load
1215,cut
1216,through
1217,synthetic
1218,sling
1219,Final
1220,Classification:
1221,Significant
1222,Incident
1223,Operation
1224,Project:
1225,Underground
1226,Project
1227,Location
1228,Region
1229,Central
1230,Heating
1231,Plant
1232,Expansion
1233,26
1234,Growth
1235,Innovation
1236,Critical
1237,Control:
1238,Mechanical
1239,Integrity
1240,Lifting
1241,Equipment
1242,"Duff,"
1243,9509
1244,0435
1245,piece
1246,flue
1247,duct
1248,lifted
1249,synthetic
1250,fiber
1251,ling
1252,severed
1253,This
1254,subsequently
1255,caused
1256,10
1257,meter
1258,"long,"
1259,1.4
1260,meter
1261,"square,"
1262,load
1263,fall
1264,approximately
1265,meters
1266,grade.
1267,workers
1268,drop
1269,zone
1270,barricading
1271,place
1272,prevent
1273,unauthorized
1274,access
1275,into
1276,t
1277,he
1278,lift
1279,zone.
1280,Investigation
1281,findings
1282,Actions
1283,sling
1284,cut
1285,sharp
1286,edge
1287,load
1288,Alternative
1289,rigging
1290,equipment
1291,available
1292,use
1293,lift
1294,Substitution
1295,action
1296,ban
1297,use
1298,soft
1299,slings
1300,loads
1301,sharp
1302,edges.
1303,(Wire
1304,rope
1305,chain
1306,slings
1307,instead);
1308,lift
1309,plan
1310,(for
1311,non
1312,critical
1313,lifts)
1314,lex
1315,lifts
1316,such
1317,canting
1318,loads
1319,Administrative
1320,action
1321,update
1322,lift
1323,plan
1324,include
1325,additional
1326,controls
1327,including
1328,fit
1329,purpose
1330,rigging
1331,equipment
1332,lift
1333,oversight
1334,"supervision,"
1335,and;
1336,duct
1337,manufactured
1338,site
1339,consideration
1340,rigging
1341,aspect
1342,(i.e.
1343,lifting
1344,lugs)
1345,Engineering
1346,action
1347,include
1348,lifting
1349,method
1350,design
1351,manufactured
1352,steel
1353,loads.
1354,Critical
1355,learning
1356,Do
1357,allow
1358,use
1359,synthetic
1360,slings
1361,sharp
1362,edged
1363,loads
1364,unprotected
1365,edges
1366,lifting
1367,lugs
1368,similar
1369,lifting
1370,complex
1371,loads.
1372,Preliminary
1373,HSEC
1374,Incident
1375,Alert
1376,Growth
1377,Innovation
1378,distributed
1379,incident
1380,occurrence
1381,DISPLAY
1382,BOARDS
1383,DAYS
1384,AFTER
1385,INCIDENT
1386,Incident:
1387,Dropped
1388,Duct
1389,From
1390,Synthetic
1391,Sling
1392,Failure
1393,Preliminary
1394,Classification:
1395,Significant
1396,Incident
1397,Operation
1398,Project:
1399,Underground
1400,Projects
1401,Location
1402,Region:
1403,Central
1404,Heating
1405,Plant
1406,26
1407,Growth
1408,Innovation
1409,Critical
1410,Control:
1411,"Aitchison,"
1412,cr
1413,ane
1414,rigging
1415,team
1416,performing
1417,test
1418,lift
1419,ton
1420,section
1421,ductwork
1422,preparation
1423,installation.
1424,During
1425,test
1426,"lift,"
1427,duct
1428,suspended
1429,vertically
1430,approximately
1431,2.5
1432,meters
1433,off
1434,ground
1435,10
1436,ton
1437,ne
1438,synthetic
1439,sli
1440,ng
1441,broke
1442,duct
1443,fell
1444,back
1445,ground
1446,inside
1447,drop
1448,zone
1449,exclusion
1450,area.
1451,Immediate
1452,Actions
1453,work
1454,activity
1455,immediately
1456,stopped.
1457,duct
1458,laid
1459,down
1460,into
1461,fundamentally
1462,stable
1463,position.
1464,Site
1465,wide
1466,quarantine
1467,slings
1468,manufactured
1469,Yurim
1470,R&S
1471,subject
1472,investigation
1473,outcome
1474,Damaged
1475,sling
1476,other
1477,similar
1478,sling
1479,sent
1480,testing
1481,Complete
1482,inspection
1483,slings
1484,defects
1485,damage.
1486,Prohibited
1487,use
1488,synthetic
1489,slings
1490,st
1491,ructural
1492,steel
1493,loads.
1494,2018/09/29
1495,95091916
1496,EX01
1497,Caterpillar
1498,6060FS
1499,2018.10.04
1500,976
1501,99905278
1502,2018/10/10
1503,95091916
1504,2018.10.10-
1505,Preliminary
1506,HSEC
1507,Incident
1508,Alert
1509,Growth
1510,Innovation
1511,distributed
1512,incident
1513,occurrence
1514,DISPLAY
1515,BOARDS
1516,DAYS
1517,AFTER
1518,INCIDENT
1519,Incident:
1520,Equipment
1521,fire
1522,underground
1523,Shaft
1524,Preliminary
1525,Classification:
1526,Potential
1527,Fatal
1528,Incident
1529,(PFI)
1530,Operation
1531,Project
1532,Underground
1533,project
1534,Location
1535,Region
1536,Shaft
1537,15
1538,Growth
1539,Innovation
1540,Critical
1541,Control
1542,Underground
1543,fire
1544,Greg
1545,"Field,"
1546,5617
1547,approximately
1548,09:30
1549,fire
1550,broke
1551,out
1552,mid
1553,sized
1554,JCB
1555,loader
1556,underground
1557,Shaft
1558,project.
1559,operator
1560,activated
1561,fire
1562,suppression
1563,system
1564,quickly
1565,evacuated
1566,colleague
1567,safe
1568,place.
1569,He
1570,then
1571,initiated
1572,emergency
1573,response
1574,procedure.
1575,"time,"
1576,total
1577,504
1578,employees
1579,working
1580,underground
1581,mine.
1582,Shortly
1583,after
1584,"incident,"
1585,black
1586,smoke
1587,seen
1588,coming
1589,out
1590,Shaft
1591,exhaust
1592,fans.
1593,injured.
1594,Response
1595,incident
1596,09:40
1597,Incident
1598,Command
1599,Team
1600,"assembled,"
1601,command
1602,centre
1603,established
1604,Mines
1605,Rescue
1606,team
1607,activated
1608,09:56
1609,"precaution,"
1610,employees
1611,working
1612,inside
1613,Shaft
1614,Conveyor
1615,Surface
1616,evacuated
1617,10:01
1618,First
1619,count
1620,refuge
1621,chambers
1622,11:07
1623,504
1624,personnel
1625,confirmed
1626,safely
1627,refuge
1628,chambers
1629,11:40
1630,Authorities
1631,notified
1632,incident
1633,(local
1634,"police,"
1635,"GASI,"
1636,NEMA
1637,Mining
1638,Ministry)
1639,14:43
1640,Staged
1641,evacuation
1642,crews
1643,started
1644,18:31
1645,Mines
1646,Rescue
1647,team
1648,confirmed
1649,fire
1650,extinguished
1651,19:15
1652,Electrical
1653,team
1654,went
1655,underground
1656,isolated
1657,impacted
1658,area
1659,21:13
1660,employees
1661,safely
1662,evacuated
1663,offered
1664,EAP
1665,medical
1666,support.
1667,Final
1668,HSEC
1669,Incident
1670,Alert
1671,Growth
1672,Innovation
1673,distributed
1674,incident
1675,occurrence
1676,DISPLAY
1677,BOARDS
1678,DAYS
1679,AFTER
1680,INCIDENT
1681,Incident:
1682,Terex
1683,45T
1684,crane
1685,tipped
1686,over
1687,Final
1688,Classification:
1689,Significant
1690,Incident
1691,Operation
1692,Project:
1693,Underground
1694,Project
1695,Location
1696,Region
1697,C2S
1698,"Decline,"
1699,Surface
1700,laydown
1701,17
1702,Growth
1703,Innovation
1704,Critical
1705,Control:
1706,Execution
1707,Lifting
1708,Plan
1709,Matthew
1710,"Breen,"
1711,9509
1712,1142
1713,Terex
1714,45
1715,tonne
1716,crane
1717,load
1718,compactor
1719,onto
1720,transport
1721,float
1722,surface
1723,workshop
1724,laydown
1725,area.
1726,After
1727,lifting
1728,task
1729,completed
1730,operator
1731,packing
1732,"crane,"
1733,crane
1734,tipped
1735,over
1736,onto
1737,it's
1738,side.
1739,Investigation
1740,findings
1741,actions
1742,Equipment
1743,operated
1744,outside
1745,correct
1746,parameters;
1747,Crane
1748,operator
1749,follow
1750,correct
1751,crane
1752,pack
1753,proc
1754,ess
1755,install
1756,locking
1757,pin
1758,prior
1759,retracting
1760,outriggers.
1761,Critical
1762,Ensure
1763,correct
1764,procedures
1765,followed
1766,lifting
1767,"activities,"
1768,including
1769,while
1770,setting
1771,packing
1772,crane.
1773,Preliminary
1774,HSEC
1775,Incident
1776,Alert
1777,Growth
1778,Innovation
1779,distributed
1780,incident
1781,occurrence
1782,DISPLAY
1783,BOARDS
1784,DAYS
1785,AFTER
1786,INCIDENT
1787,Incident:
1788,Terex
1789,45T
1790,Crane
1791,tipped
1792,over
1793,Preliminary
1794,Classification:
1795,Significant
1796,Incident
1797,Operation
1798,Project
1799,Underground
1800,Project
1801,Location
1802,Region
1803,C2S
1804,Decline
1805,Surface
1806,Area
1807,17
1808,Growth
1809,Innovation
1810,Critical
1811,Control
1812,Lifting
1813,Plan
1814,Execution
1815,Matthew
1816,"Breen,"
1817,9509
1818,1142
1819,Terex
1820,45
1821,tonne
1822,crane
1823,tipped
1824,over
1825,onto
1826,its
1827,side
1828,operator
1829,packing
1830,after
1831,lift.
1832,operator
1833,exited
1834,cabin
1835,v
1836,ia
1837,window.
1838,Immed
1839,iate
1840,Actions
1841,Incident
1842,scene
1843,"secured,"
1844,authorities
1845,notified;
1846,Operator
1847,seen
1848,medical
1849,clinic
1850,released
1851,fit
1852,return
1853,work
1854,only
1855,minor
1856,first
1857,aid
1858,treatment.
1859,Investigation
1860,commenced.
1861,Final
1862,HSEC
1863,Incident
1864,Alert
1865,Growth
1866,Innovation
1867,distributed
1868,incident
1869,occurrence
1870,DISPLAY
1871,BOARDS
1872,DAYS
1873,AFTER
1874,INCIDENT
1875,Incident:
1876,Pedestrian
1877,contacted
1878,loader
1879,bucket
1880,Final
1881,Classification:
1882,Potential
1883,Fatal
1884,Incident
1885,(PFI)
1886,Operation
1887,Project:
1888,Oyo
1889,Underground
1890,Project
1891,Location
1892,Region
1893,Shaft
1894,"#1,"
1895,Underground
1896,9MAD
1897,RM01
1898,19
1899,Growth
1900,Innovation
1901,Critical
1902,Control:
1903,Positive
1904,Communication
1905,System
1906,Greg
1907,"Field,"
1908,5617
1909,pedestrian
1910,granted
1911,entry
1912,active
1913,loading
1914,zone
1915,via
1916,cap
1917,lamp
1918,signals.
1919,After
1920,passing
1921,loader
1922,approximately
1923,65m
1924,further
1925,down
1926,"drive,"
1927,pedestrian
1928,struck
1929,behind
1930,loader
1931,knocked
1932,ground.
1933,recovering
1934,well
1935,after
1936,receiving
1937,crush
1938,injuries
1939,right
1940,arm.
1941,Essential
1942,Factors
1943,actions:
1944,UG
1945,loader
1946,rehandling
1947,muck
1948,another
1949,stockpile
1950,struck.The
1951,preferred
1952,truck
1953,loading
1954,zone
1955,could
1956,u
1957,sed
1958,due
1959,additional
1960,installed
1961,infrastructure
1962,ventilation
1963,services.
1964,(Elimination
1965,Action)
1966,Re
1967,instate
1968,truck
1969,loading
1970,zone
1971,remove
1972,need
1973,rehandling
1974,muck.
1975,operator
1976,UG
1977,loader
1978,see
1979,due
1980,inherent
1981,limited
1982,field
1983,"vision,"
1984,height
1985,position
1986,bucket
1987,tramming
1988,forwards.
1989,(Engineering
1990,Action):
1991,Implement
1992,Vehicle
1993,Interaction
1994,Management
1995,technology.
1996,Critical
1997,When
1998,entering
1999,exiting
2000,areas
2001,mobile
2002,equipment
2003,operating
2004,(as
2005,pedestrian
2006,other
2007,m
2008,obile
2009,"equipment),"
2010,positive
2011,communication
2012,way
2013,exchange
2014,verbal
2015,Preliminary
2016,HSEC
2017,Incident
2018,Alert
2019,Growth
2020,Innovation
2021,distributed
2022,incident
2023,occurrence
2024,DISPLAY
2025,BOARDS
2026,DAYS
2027,AFTER
2028,INCIDENT
2029,Incident:
2030,Employee
2031,impacted
2032,UG
2033,loader
2034,Preliminary
2035,Classification:
2036,Potential
2037,Fatal
2038,Incident
2039,(PFI)
2040,Operation
2041,Project
2042,Underground
2043,Project
2044,Location
2045,Region
2046,Shaft
2047,"#1,"
2048,MAD
2049,RM01
2050,19
2051,1.45pm
2052,Growth
2053,Innovation
2054,Critical
2055,Control
2056,Positive
2057,Communication
2058,System
2059,O
2060,ne
2061,our
2062,team
2063,members
2064,impacted
2065,underground
2066,loader
2067,bucket
2068,he
2069,accessing
2070,area
2071,foot
2072,1300
2073,level
2074,underground.
2075,Immediate
2076,Actions
2077,F
2078,irst
2079,response
2080,provided
2081,Injured
2082,Person
2083,scene
2084,M
2085,ines
2086,Rescue
2087,Team
2088,(MRT);
2089,transferred
2090,Ulaanbaatar
2091,further
2092,medical
2093,care
2094,recovering
2095,well
2096,now
2097,about;
2098,S
2099,cene
2100,"safe,"
2101,barricaded
2102,preserved
2103,underground
2104,activities
2105,"stopped,"
2106,personnel
2107,brought
2108,surface
2109,communication
2110,briefing
2111,support;
2112,Scene
2113,"secured,"
2114,r
2115,elevant
2116,authorities
2117,notifi
2118,ed
2119,i
2120,nvestigation
2121,process
2122,commenced
2123,Final
2124,HSEC
2125,Incident
2126,Alert
2127,Growth
2128,Innovation
2129,distributed
2130,incident
2131,occurrence
2132,DISPLAY
2133,BOARDS
2134,DAYS
2135,AFTER
2136,INCIDENT
2137,Incident:
2138,Dropped
2139,Steel
2140,Plate
2141,Final
2142,Classification:
2143,Significant
2144,Incident
2145,Operation
2146,Project:
2147,Underground
2148,Project
2149,Location
2150,Region
2151,Central
2152,Heating
2153,Plant
2154,27
2155,Growth
2156,Innovation
2157,Critical
2158,Control:
2159,Falling
2160,Objects
2161,Work
2162,Area
2163,Mgt
2164,Duff
2165,04
2166,35
2167,worker
2168,dropped
2169,~35kg
2170,steel
2171,base
2172,plate
2173,through
2174,gap
2175,scaffold
2176,planks.
2177,plate
2178,fell
2179,11.5
2180,meters
2181,grade.
2182,During
2183,its
2184,"descent,"
2185,temporarily
2186,arr
2187,ested
2188,dropped
2189,object
2190,net.
2191,landed
2192,barricaded
2193,area
2194,personnel
2195,present.
2196,Investigation
2197,findings
2198,actions
2199,caffold
2200,platform
2201,gap
2202,planks.
2203,(Elimination
2204,Action):
2205,Eliminate
2206,open
2207,holes
2208,gaps
2209,elevated
2210,work
2211,platform
2212,Scaffold
2213,set
2214,w
2215,re
2216,evaluated
2217,change
2218,task
2219,(welding
2220,pipe
2221,support
